--------------------------------------
sw_if_index: 3 | bits: 8 | size: 256 | mode: 4
pkt_count: 38053062 | admitted times: 16794 (0.000) | not_monitored: 28415774 (.747)
--------------------------------------
< val > 	 < key > 	 Hll_count 	 stream_q 	 raw_count_index 	 raw_count_value 	 reg_count_value 	 max_reg_value 
--------------------------------------
==========VVV=============
  2313.46 	 50.224.90.164    	   2136.30 	     22.03 	 0596 	      16496 	        256 	 11
  3583.38 	 89.183.104.150    	   3556.61 	     13.24 	 0600 	      48568 	        256 	 14
   660.29 	 50.224.90.152    	    670.97 	     70.16 	 0533 	       3440 	        238 	 8
  1812.52 	 144.105.24.27    	   1854.22 	     25.39 	 0584 	      20244 	        256 	 13
   832.03 	 98.150.38.226    	    852.58 	     55.21 	 0558 	      13852 	        246 	 13
  4745.92 	 50.224.90.227    	   5316.99 	      8.85 	 0601 	      34220 	        256 	 12
   756.15 	 50.224.90.141    	    724.78 	     64.95 	 0550 	       7992 	        240 	 12
 10164.62 	 99.181.161.189    	   9956.09 	      4.73 	 0606 	      68656 	        256 	 13
  2254.62 	 136.25.188.105    	   2228.37 	     21.12 	 0597 	      85152 	        256 	 16
   948.76 	 50.224.90.158    	    972.56 	     48.40 	 0565 	       6847 	        251 	 11
   705.25 	 50.224.90.143    	    708.37 	     66.45 	 0540 	       8554 	        236 	 10
   660.67 	 50.224.90.185    	    670.99 	     70.15 	 0534 	       8893 	        237 	 12
   612.78 	 144.116.80.185    	    557.54 	     77.21 	 0528 	       2693 	        227 	 7
  1984.49 	 97.30.135.39    	   2117.36 	     22.23 	 0591 	      35250 	        256 	 14
   829.32 	 50.224.90.154    	    843.73 	     55.79 	 0557 	       5056 	        246 	 9
   753.75 	 99.181.189.173    	    782.99 	     60.12 	 0548 	       6119 	        245 	 10
   599.92 	 99.181.189.175    	    628.26 	     78.36 	 0522 	       3628 	        234 	 9
  1089.45 	 99.181.189.210    	   1076.99 	     43.71 	 0574 	       7396 	        252 	 11
   575.33 	 50.224.90.162    	    595.53 	     78.43 	 0519 	       6061 	        231 	 11
  1355.54 	 144.57.4.221    	   1421.67 	     33.11 	 0583 	      12892 	        256 	 11
 10439.62 	 99.181.161.190    	  10650.10 	      4.42 	 0609 	     192184 	        256 	 17
  2212.17 	 144.105.24.24    	   1984.58 	     23.72 	 0595 	      15704 	        256 	 11
  1211.22 	 98.150.38.204    	   1253.59 	     37.55 	 0576 	      12149 	        255 	 11
   928.11 	 50.224.90.235    	    963.27 	     48.87 	 0563 	       9878 	        250 	 11
   623.00 	 50.224.90.169    	    644.28 	     73.06 	 0527 	     138778 	        234 	 17
  1110.70 	 50.224.80.64    	   1087.48 	     43.29 	 0571 	      12051 	        253 	 11
   697.63 	 139.163.101.169    	    700.08 	     67.24 	 0538 	       6456 	        244 	 10
   986.74 	 99.181.189.171    	   1045.46 	     45.03 	 0567 	      17025 	        251 	 12
  9483.04 	 99.181.161.182    	   8853.98 	      5.32 	 0607 	     142416 	        256 	 15
   652.16 	 50.224.90.189    	    691.04 	     68.12 	 0532 	       7612 	        234 	 10
  1273.76 	 99.181.189.205    	   1347.62 	     34.93 	 0581 	      19050 	        256 	 13
   893.01 	 192.226.163.31    	    895.42 	     52.57 	 0559 	       5262 	        248 	 9
   661.60 	 6.75.81.226    	    662.70 	     71.03 	 0535 	       7558 	        234 	 10
  2124.61 	 56.148.70.113    	   2028.21 	     23.21 	 0592 	      11526 	        256 	 10
   600.73 	 89.183.104.132    	    605.98 	     75.33 	 0524 	       6940 	        232 	 10
  1038.81 	 145.254.34.69    	   1050.11 	     44.83 	 0572 	      44579 	        251 	 15
   893.36 	 144.116.80.190    	    915.08 	     51.44 	 0564 	      14053 	        249 	 12
  5665.51 	 50.224.90.233    	   5317.54 	      8.85 	 0604 	      49004 	        256 	 14
   787.02 	 50.224.90.251    	    801.55 	     58.73 	 0555 	      75325 	        241 	 16
 20172.93 	 50.224.90.224    	  20543.09 	      2.29 	 0608 	     150752 	        256 	 15
   899.39 	 213.38.210.195    	    940.19 	     50.07 	 0561 	       8123 	        249 	 10
   729.99 	 129.211.253.198    	    762.58 	     61.73 	 0542 	       7200 	        244 	 10
   734.69 	 50.224.90.167    	    695.82 	     67.65 	 0547 	       4981 	        239 	 9
  1251.79 	 56.148.70.109    	   1203.12 	     39.13 	 0579 	      15957 	        253 	 13
   582.56 	 50.224.90.172    	    557.54 	     76.02 	 0521 	       7355 	        227 	 11
   860.94 	 243.171.132.0    	    833.95 	     56.45 	 0562 	       5231 	        249 	 9
  2295.84 	 109.91.50.218    	   2480.16 	     18.98 	 0594 	      17402 	        256 	 12
   971.79 	 50.224.90.171    	    949.98 	     49.55 	 0568 	       9006 	        248 	 11
   644.25 	 50.224.90.160    	    648.75 	     72.56 	 0531 	       4557 	        229 	 10
  1006.56 	 50.224.90.157    	    996.69 	     47.23 	 0570 	      11341 	        251 	 11
   557.51 	 50.224.90.140    	    575.83 	     79.37 	 0516 	       5059 	        229 	 9
   785.32 	 215.158.140.13    	    769.03 	     61.21 	 0553 	       9467 	        239 	 11
  1356.31 	 99.181.189.213    	   1427.29 	     32.98 	 0580 	      74759 	        255 	 16
   731.07 	 220.21.64.132    	    744.62 	     63.22 	 0543 	       6911 	        239 	 11
  1446.90 	 6.73.216.91    	   1500.27 	     31.38 	 0587 	      13332 	        256 	 12
  2000.39 	 97.30.135.38    	   1905.92 	     24.69 	 0593 	      25655 	        255 	 13
  1154.05 	 99.181.189.211    	   1145.63 	     41.09 	 0575 	      10056 	        254 	 10
   771.68 	 99.181.189.169    	    782.46 	     60.16 	 0552 	       7964 	        244 	 10
   715.25 	 89.183.104.248    	    754.20 	     62.41 	 0541 	       6297 	        241 	 9
  1915.17 	 144.105.24.25    	   1953.53 	     24.09 	 0586 	      12532 	        256 	 11
   613.74 	 50.224.90.199    	    652.66 	     74.42 	 0525 	       4392 	        236 	 10
   564.98 	 220.221.64.77    	    566.52 	     83.29 	 0515 	       6382 	        228 	 11
   589.97 	 6.21.194.21    	    595.53 	     76.24 	 0518 	      11429 	        231 	 12
   602.15 	 99.181.189.170    	    641.44 	     73.39 	 0526 	       6888 	        230 	 10
   735.99 	 50.224.90.149    	    755.13 	     62.34 	 0546 	      10608 	        244 	 12
  2094.83 	 50.224.90.163    	   2107.55 	     22.34 	 0590 	      52748 	        256 	 14
  1035.35 	 192.226.163.191    	   1042.26 	     45.16 	 0569 	      11343 	        251 	 11
  5024.42 	 50.224.90.226    	   5066.54 	      9.29 	 0605 	      39476 	        256 	 13
   785.69 	 50.224.90.147    	    812.20 	     57.96 	 0554 	       5687 	        247 	 9
  2572.48 	 50.224.90.174    	   2791.92 	     16.86 	 0598 	      28566 	        256 	 12
  1947.29 	 137.72.4.5    	   1926.31 	     24.44 	 0589 	      20668 	        256 	 12
   555.45 	 109.209.228.248    	    532.34 	     80.73 	 0513 	       7664 	        224 	 10
  2478.45 	 89.183.104.157    	   2674.57 	     17.60 	 0599 	      20550 	        256 	 11
   688.44 	 50.224.90.191    	    700.33 	     67.21 	 0536 	       4628 	        236 	 8
   796.62 	 144.75.218.237    	    790.24 	     59.57 	 0556 	       5611 	        245 	 10
   674.57 	 144.75.218.241    	    682.85 	     68.94 	 0537 	       4785 	        237 	 9
  1290.38 	 192.67.116.0    	   1240.97 	     37.93 	 0578 	       9057 	        253 	 11
  1382.15 	 50.224.90.159    	   1442.23 	     32.64 	 0585 	      15736 	        254 	 13
   784.40 	 144.75.218.235    	    837.51 	     56.21 	 0551 	      29507 	        245 	 14
   930.13 	 50.224.90.148    	    929.53 	     50.64 	 0566 	      22848 	        252 	 14
   554.39 	 247.136.191.221    	    532.34 	     83.74 	 0514 	       4022 	        224 	 9
   625.26 	 6.75.128.66    	    678.35 	     69.39 	 0529 	       6047 	        237 	 11
   594.78 	 89.183.104.178    	    605.98 	     76.70 	 0520 	       6522 	        232 	 11
  1201.75 	 50.224.90.153    	   1224.84 	     38.43 	 0577 	       6240 	        256 	 9
   623.69 	 97.120.173.58    	    647.45 	     72.71 	 0530 	      36721 	        237 	 15
   734.48 	 252.136.112.0    	    738.07 	     63.78 	 0544 	       6047 	        241 	 10
 15887.98 	 220.32.97.196    	  15482.38 	      3.04 	 0611 	      83360 	        256 	 13
  5184.14 	 50.224.90.234    	   5150.87 	      9.14 	 0602 	      40236 	        256 	 13
   832.42 	 144.75.218.233    	    796.84 	     59.07 	 0560 	      15290 	        242 	 13
   538.54 	 99.181.189.174    	    532.34 	     84.67 	 0512 	       3886 	        224 	 8
   732.23 	 99.181.189.172    	    748.08 	     62.92 	 0545 	       7504 	        244 	 10
   702.93 	 50.224.90.146    	    692.54 	     67.97 	 0539 	       6542 	        240 	 10
  1151.37 	 89.183.104.227    	   1250.81 	     37.63 	 0573 	      10148 	        254 	 10
   762.67 	 99.181.189.168    	    747.09 	     63.01 	 0549 	      11986 	        242 	 13
  1432.18 	 96.190.104.128    	   1471.06 	     31.99 	 0582 	      22314 	        254 	 13
 20516.46 	 50.224.90.231    	  20872.09 	      2.26 	 0610 	     317504 	        256 	 16
   574.42 	 50.224.90.208    	    595.53 	     75.86 	 0517 	       5903 	        231 	 10
  4807.16 	 50.224.90.225    	   4924.46 	      9.56 	 0603 	      51452 	        256 	 13
   606.72 	 144.116.100.208    	    652.66 	     76.05 	 0523 	       4642 	        236 	 9
  1981.79 	 97.30.135.34    	   1986.76 	     23.69 	 0588 	      53360 	        256 	 15
==========V=============
