command line: ../SSG/exact-counting_pcap.py capture.pcap capture.out --parsing_mode 1
simulation time: 0:00:09.121314
==========================================
Global HLL: 33385 25651
cardinality_count	key	ratio_cardinality		||	elephant_count	ratio_elephant	|	overMinRank	ratio_overMinRank
==========VVV=============
1 	 61.73.150.121 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 78.150.215.216 	 0.003		||	9 	 0.0018	|	0 	 0
1 	 230.31.117.119 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 155.133.6.162 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 53.68.93.34 	 0.003		||	12 	 0.0024	|	0 	 0
1 	 77.147.20.145 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 53.68.229.127 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 200.19.95.75 	 0.003		||	5 	 0.001	|	0 	 0
1 	 61.161.201.71 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 92.162.249.71 	 0.003		||	4 	 0.0008	|	4 	 100
2 	 137.222.88.66 	 0.00599		||	5 	 0.001	|	0 	 0
1 	 92.162.249.79 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 70.180.95.134 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 136.105.124.6 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 53.233.22.163 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 140.87.251.165 	 0.003		||	8 	 0.0016	|	0 	 0
1 	 48.105.136.147 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 75.139.51.242 	 0.003		||	5 	 0.001	|	0 	 0
1 	 95.245.196.125 	 0.003		||	38 	 0.0076	|	38 	 100
1 	 30.183.172.160 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 230.93.162.230 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 86.70.235.13 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 68.80.243.149 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 66.153.79.72 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 95.247.135.86 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 70.98.76.29 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 6.116.13.55 	 0.003		||	12 	 0.0024	|	0 	 0
1 	 202.53.167.252 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 156.181.149.212 	 0.003		||	347 	 0.0694	|	0 	 0
1 	 146.159.133.234 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 66.86.234.18 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 73.87.150.115 	 0.003		||	43 	 0.0086	|	43 	 100
1 	 110.243.139.49 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 146.132.33.95 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 58.234.224.155 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 53.213.217.234 	 0.003		||	6 	 0.0012	|	0 	 0
1 	 59.141.161.167 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 68.203.188.16 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 202.110.11.122 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 95.132.53.169 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 140.161.45.4 	 0.00599		||	22 	 0.0044	|	0 	 0
2 	 140.161.45.5 	 0.00599		||	22 	 0.0044	|	0 	 0
1 	 30.191.73.22 	 0.003		||	5 	 0.001	|	0 	 0
3 	 140.161.45.9 	 0.00899		||	13 	 0.0026	|	0 	 0
1 	 136.50.41.71 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 30.212.132.179 	 0.003		||	5 	 0.001	|	0 	 0
1 	 74.136.77.179 	 0.003		||	7 	 0.0014	|	0 	 0
1 	 92.160.9.243 	 0.003		||	34 	 0.0068	|	0 	 0
1 	 201.194.83.28 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 152.137.82.175 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 77.147.21.181 	 0.003		||	1 	 0.0002	|	0 	 0
3 	 59.158.157.40 	 0.00899		||	3 	 0.0006	|	0 	 0
1 	 106.5.211.91 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 82.131.183.188 	 0.00599		||	6 	 0.0012	|	0 	 0
1 	 110.43.125.66 	 0.003		||	28 	 0.0056	|	0 	 0
1 	 95.74.77.135 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 73.80.97.50 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 66.81.27.177 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 95.132.106.72 	 0.003		||	8 	 0.0016	|	8 	 100
1 	 157.125.22.164 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 103.22.141.55 	 0.003		||	2 	 0.0004	|	0 	 0
4 	 201.42.91.169 	 0.012		||	6 	 0.0012	|	0 	 0
1 	 146.192.104.165 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 200.177.227.55 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 48.106.68.145 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 59.51.49.114 	 0.003		||	5 	 0.001	|	0 	 0
1 	 58.203.180.81 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 69.170.189.234 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 66.35.229.245 	 0.003		||	10 	 0.002	|	0 	 0
1 	 250.114.165.0 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 95.74.89.232 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 95.189.241.175 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 108.32.239.175 	 0.003		||	12 	 0.0024	|	0 	 0
1 	 97.148.115.210 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 76.100.220.57 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 140.145.123.158 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 70.227.77.114 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 140.68.7.122 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 140.68.7.126 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 4.120.212.100 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 37.123.198.252 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 136.174.126.165 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 78.151.103.75 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 18.201.165.226 	 0.003		||	14 	 0.0028	|	0 	 0
2 	 97.182.149.55 	 0.00599		||	58 	 0.0116	|	0 	 0
1 	 73.46.223.166 	 0.003		||	21 	 0.0042	|	0 	 0
1 	 84.204.191.179 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 156.166.161.81 	 0.003		||	6 	 0.0012	|	0 	 0
1 	 154.183.66.181 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 6.147.63.151 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 59.48.191.226 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 152.100.2.25 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 68.66.232.74 	 0.00599		||	2 	 0.0004	|	0 	 0
1 	 66.210.191.140 	 0.003		||	6 	 0.0012	|	0 	 0
1 	 73.46.200.205 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 140.53.140.213 	 0.003		||	7 	 0.0014	|	0 	 0
1 	 136.61.231.168 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 133.135.202.225 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 66.56.73.202 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 67.33.97.185 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 6.213.81.238 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 146.14.154.205 	 0.00599		||	3 	 0.0006	|	0 	 0
1 	 78.51.53.23 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 192.205.185.246 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 59.42.28.32 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 37.49.241.120 	 0.003		||	36 	 0.0072	|	0 	 0
1 	 156.159.118.132 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 17.233.221.39 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 84.214.213.94 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 84.214.213.97 	 0.003		||	5 	 0.001	|	0 	 0
1 	 74.142.104.200 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 84.214.213.93 	 0.003		||	3 	 0.0006	|	0 	 0
2 	 84.214.213.92 	 0.00599		||	11 	 0.0022	|	0 	 0
1 	 192.182.254.164 	 0.003		||	15 	 0.003	|	0 	 0
1 	 68.227.31.229 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 84.214.213.98 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 48.109.35.170 	 0.003		||	6 	 0.0012	|	6 	 100
1 	 200.9.129.206 	 0.003		||	9 	 0.0018	|	0 	 0
1 	 202.105.111.200 	 0.003		||	13 	 0.0026	|	0 	 0
7 	 111.151.139.187 	 0.021		||	7 	 0.0014	|	0 	 0
1 	 156.148.235.53 	 0.003		||	5 	 0.001	|	0 	 0
1 	 66.80.168.40 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 141.24.43.204 	 0.003		||	6 	 0.0012	|	0 	 0
2 	 146.197.220.223 	 0.00599		||	10 	 0.002	|	0 	 0
1 	 74.180.175.26 	 0.003		||	9 	 0.0018	|	0 	 0
1 	 140.68.7.86 	 0.003		||	20 	 0.004	|	0 	 0
1 	 140.73.1.26 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 156.182.122.47 	 0.00599		||	2 	 0.0004	|	0 	 0
1 	 18.48.6.161 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 141.21.242.215 	 0.003		||	5 	 0.001	|	0 	 0
1 	 111.4.50.207 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 40.250.153.151 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 78.51.52.124 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 223.176.127.80 	 0.003		||	5 	 0.001	|	0 	 0
1 	 144.69.195.175 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 94.176.58.182 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 227.191.32.223 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 145.245.136.238 	 0.003		||	8 	 0.0016	|	0 	 0
1 	 48.129.123.102 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 223.136.97.110 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 53.231.90.235 	 0.003		||	147 	 0.0294	|	0 	 0
1 	 48.129.118.87 	 0.003		||	11 	 0.0022	|	0 	 0
1 	 129.3.78.69 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 68.204.17.151 	 0.003		||	376 	 0.0752	|	0 	 0
1 	 67.236.16.4 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 67.174.33.133 	 0.003		||	7 	 0.0014	|	0 	 0
1 	 109.122.97.252 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 159.139.139.130 	 0.003		||	2 	 0.0004	|	0 	 0
2 	 159.139.139.131 	 0.00599		||	2 	 0.0004	|	0 	 0
4 	 159.139.139.136 	 0.012		||	7 	 0.0014	|	1 	 14.3
1 	 159.139.139.137 	 0.003		||	1 	 0.0002	|	0 	 0
3 	 159.139.139.135 	 0.00899		||	5 	 0.001	|	0 	 0
3 	 159.139.139.139 	 0.00899		||	5 	 0.001	|	0 	 0
1 	 108.163.83.129 	 0.003		||	7 	 0.0014	|	0 	 0
1 	 159.147.21.83 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 223.141.231.233 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 73.87.150.117 	 0.003		||	6 	 0.0012	|	0 	 0
1 	 53.245.127.107 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 140.53.107.187 	 0.003		||	3 	 0.0006	|	0 	 0
9 	 76.100.141.41 	 0.027		||	79 	 0.0158	|	4 	 5.06
4 	 76.100.141.40 	 0.012		||	54 	 0.0108	|	0 	 0
2 	 76.100.141.43 	 0.00599		||	29 	 0.0058	|	0 	 0
1 	 77.207.83.58 	 0.003		||	3 	 0.0006	|	0 	 0
2 	 157.135.51.250 	 0.00599		||	4 	 0.0008	|	0 	 0
1 	 66.83.183.76 	 0.003		||	8 	 0.0016	|	0 	 0
1 	 69.248.69.132 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 53.69.93.221 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 92.162.220.195 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 92.162.220.190 	 0.003		||	11 	 0.0022	|	0 	 0
1 	 79.252.19.167 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 77.147.53.155 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 48.27.72.24 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 77.147.53.159 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 211.179.172.83 	 0.003		||	30 	 0.006	|	30 	 100
1 	 141.84.234.209 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 159.139.139.58 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 159.139.139.59 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 159.139.139.56 	 0.00599		||	9 	 0.0018	|	0 	 0
1 	 159.139.139.57 	 0.003		||	4 	 0.0008	|	0 	 0
2 	 159.139.139.54 	 0.00599		||	3 	 0.0006	|	0 	 0
1 	 159.139.139.55 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 146.245.57.127 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 159.139.139.53 	 0.00599		||	10 	 0.002	|	0 	 0
1 	 159.139.139.51 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 76.216.191.4 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 202.210.4.192 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 48.130.160.247 	 0.003		||	6 	 0.0012	|	0 	 0
1 	 46.218.176.215 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 61.73.88.219 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 58.232.75.117 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 53.64.208.203 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 48.130.139.94 	 0.003		||	6 	 0.0012	|	0 	 0
1 	 30.213.24.163 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 74.233.150.144 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 78.155.87.193 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 50.67.178.140 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 37.115.227.214 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 250.108.105.171 	 0.003		||	2 	 0.0004	|	0 	 0
3 	 53.214.90.146 	 0.00899		||	5 	 0.001	|	0 	 0
1 	 37.117.151.6 	 0.003		||	1 	 0.0002	|	1 	 100
1 	 75.214.184.62 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 53.200.174.223 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 78.51.11.173 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 140.173.158.30 	 0.003		||	33 	 0.0066	|	0 	 0
1 	 202.55.170.36 	 0.003		||	5 	 0.001	|	0 	 0
1 	 56.95.201.102 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 250.68.235.82 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 230.2.206.48 	 0.003		||	14 	 0.0028	|	0 	 0
1 	 200.14.45.240 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 48.129.106.223 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 60.79.110.138 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 92.162.249.160 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 141.11.165.183 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 242.94.164.97 	 0.003		||	10 	 0.002	|	0 	 0
1 	 74.248.151.174 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 230.51.20.7 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 68.77.90.76 	 0.00599		||	9 	 0.0018	|	0 	 0
1 	 75.139.145.149 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 58.227.102.149 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 82.150.165.79 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 155.19.162.196 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 141.36.33.28 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 53.233.190.228 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 72.151.32.181 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 140.161.45.8 	 0.00599		||	6 	 0.0012	|	0 	 0
1 	 53.233.190.224 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 223.142.194.63 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 156.164.44.13 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 155.216.156.6 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 37.48.125.209 	 0.003		||	50 	 0.01	|	0 	 0
1 	 144.38.75.146 	 0.003		||	12 	 0.0024	|	0 	 0
1 	 78.131.113.186 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 69.250.228.113 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 111.150.184.246 	 0.003		||	9 	 0.0018	|	0 	 0
1 	 132.49.233.2 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 103.50.174.139 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 140.81.248.52 	 0.003		||	5 	 0.001	|	0 	 0
1 	 157.84.234.243 	 0.003		||	23 	 0.0046	|	0 	 0
4 	 53.245.126.224 	 0.012		||	4 	 0.0008	|	0 	 0
1 	 159.64.141.61 	 0.003		||	5 	 0.001	|	0 	 0
1 	 103.162.255.233 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 48.138.27.221 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 70.196.33.115 	 0.003		||	5 	 0.001	|	0 	 0
1 	 67.110.62.206 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 69.31.117.138 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 141.135.236.81 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 202.250.131.253 	 0.003		||	4 	 0.0008	|	0 	 0
4 	 141.135.236.85 	 0.012		||	5 	 0.001	|	0 	 0
3 	 155.16.78.90 	 0.00899		||	9 	 0.0018	|	0 	 0
1 	 6.209.178.79 	 0.003		||	1 	 0.0002	|	0 	 0
3 	 64.163.244.29 	 0.00899		||	3 	 0.0006	|	0 	 0
1 	 73.47.197.93 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 230.56.68.158 	 0.003		||	1 	 0.0002	|	1 	 100
1 	 50.72.10.54 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 48.131.142.94 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 69.246.44.236 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 53.233.108.43 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 53.69.213.74 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 95.187.191.148 	 0.003		||	324 	 0.0648	|	0 	 0
2 	 64.132.136.126 	 0.00599		||	2 	 0.0004	|	0 	 0
1 	 74.181.77.250 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 67.193.65.0 	 0.003		||	1 	 0.0002	|	0 	 0
