command line: ../SSG/exact-counting_pcap.py vpp_generator_capture.pcap vpp_generator_capture_ref.txt --parsing_mode 1
simulation time: 0:05:22.802926
==========================================
Global HLL: 186198 722
cardinality_count	key	ratio_cardinality		||	elephant_count	ratio_elephant	|	overMinRank	ratio_overMinRank
==========VVV=============
239 	 11.12.34.217 	 0.128		||	13903 	 0.0704	|	410 	 2.95
239 	 11.12.34.216 	 0.128		||	13902 	 0.0704	|	467 	 3.36
239 	 11.12.34.215 	 0.128		||	13900 	 0.0704	|	461 	 3.32
239 	 11.12.34.214 	 0.128		||	13899 	 0.0704	|	701 	 5.04
239 	 11.12.34.213 	 0.128		||	13900 	 0.0704	|	815 	 5.86
239 	 11.12.34.212 	 0.128		||	13900 	 0.0704	|	290 	 2.09
239 	 11.12.34.211 	 0.128		||	13901 	 0.0704	|	469 	 3.37
239 	 11.12.34.210 	 0.128		||	13900 	 0.0704	|	287 	 2.06
239 	 11.12.34.219 	 0.128		||	13901 	 0.0704	|	117 	 0.842
239 	 11.12.34.218 	 0.128		||	13901 	 0.0704	|	697 	 5.01
239 	 11.12.35.75 	 0.128		||	13891 	 0.0703	|	465 	 3.35
239 	 11.12.35.59 	 0.128		||	13891 	 0.0703	|	580 	 4.18
239 	 11.12.35.58 	 0.128		||	13891 	 0.0703	|	405 	 2.92
239 	 11.12.34.138 	 0.128		||	13898 	 0.0704	|	871 	 6.27
239 	 11.12.34.139 	 0.128		||	13900 	 0.0704	|	469 	 3.37
239 	 11.12.34.132 	 0.128		||	13901 	 0.0704	|	638 	 4.59
239 	 11.12.34.133 	 0.128		||	13899 	 0.0704	|	641 	 4.61
239 	 11.12.34.130 	 0.128		||	13899 	 0.0704	|	408 	 2.94
239 	 11.12.34.131 	 0.128		||	13900 	 0.0704	|	405 	 2.91
239 	 11.12.34.136 	 0.128		||	13900 	 0.0704	|	466 	 3.35
239 	 11.12.34.137 	 0.128		||	13900 	 0.0704	|	347 	 2.5
239 	 11.12.34.134 	 0.128		||	13899 	 0.0704	|	173 	 1.24
239 	 11.12.34.135 	 0.128		||	13900 	 0.0704	|	231 	 1.66
239 	 11.12.35.55 	 0.128		||	13892 	 0.0703	|	525 	 3.78
239 	 11.12.35.54 	 0.128		||	13891 	 0.0703	|	757 	 5.45
239 	 11.12.33.232 	 0.128		||	13908 	 0.0704	|	406 	 2.92
239 	 11.12.33.233 	 0.128		||	13909 	 0.0704	|	693 	 4.98
239 	 11.12.33.230 	 0.128		||	13907 	 0.0704	|	526 	 3.78
239 	 11.12.33.231 	 0.128		||	13906 	 0.0704	|	467 	 3.36
239 	 11.12.33.236 	 0.128		||	13909 	 0.0704	|	402 	 2.89
239 	 11.12.33.237 	 0.128		||	13908 	 0.0704	|	520 	 3.74
239 	 11.12.33.234 	 0.128		||	13908 	 0.0704	|	349 	 2.51
239 	 11.12.33.235 	 0.128		||	13909 	 0.0704	|	406 	 2.92
239 	 11.12.33.238 	 0.128		||	13908 	 0.0704	|	350 	 2.52
239 	 11.12.33.239 	 0.128		||	13908 	 0.0704	|	529 	 3.8
